catalogueId,field,label,source,period,originalGeography,catalogueComponent,reportComponent,selection,projected,available,reportReference,notes,localStatus,r2Status,candidateDatasets,exactPrimitiveMatch,nextAction,min,max,uniqueValues
62,Heart_Failure_Prevalence_1_Years,Heart Failure Prevalence 1 Years,BC Community Health Data,2015,LHA,Sensitivity,Sensitivity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,1.3,3.4,20
63,Hypertension_Prevalence_20_Years,Hypertension Prevalence 20 Years,BC Community Health Data,2015,LHA,Sensitivity,Sensitivity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,18.1,28.6,43
64,Asthma_Incidence_5_54_Years,Asthma Incidence 5 54 Years,BC Community Health Data,2015,LHA,Sensitivity,Sensitivity,ambiguous,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,Table 2 repeats five disease-incidence labels without distinguishing rates from counts. Table 1 and the CSV contain separate rate and count fields; both are retained but exact PCA inclusion needs code.,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,3.2,12.4,33
65,COPD_Incidence_45_Years,COPD Incidence 45 Years,BC Community Health Data,2015,LHA,Sensitivity,Sensitivity,ambiguous,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,Table 2 repeats five disease-incidence labels without distinguishing rates from counts. Table 1 and the CSV contain separate rate and count fields; both are retained but exact PCA inclusion needs code.,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,3.8,21.4,37
66,Diabetes_Incidence_1_Years,Diabetes Incidence 1 Years,BC Community Health Data,2015,LHA,Sensitivity,Sensitivity,ambiguous,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,Table 2 repeats five disease-incidence labels without distinguishing rates from counts. Table 1 and the CSV contain separate rate and count fields; both are retained but exact PCA inclusion needs code.,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,3.6,10.4,33
67,Heart_Failure_Incidence_1_Years,Heart Failure Incidence 1 Years,BC Community Health Data,2015,LHA,Sensitivity,Sensitivity,ambiguous,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,Table 2 repeats five disease-incidence labels without distinguishing rates from counts. Table 1 and the CSV contain separate rate and count fields; both are retained but exact PCA inclusion needs code.,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,1.9,6.3,25
68,Hypertension_Incidence_20_Years,Hypertension Incidence 20 Years,BC Community Health Data,2015,LHA,Sensitivity,Sensitivity,ambiguous,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,Table 2 repeats five disease-incidence labels without distinguishing rates from counts. Table 1 and the CSV contain separate rate and count fields; both are retained but exact PCA inclusion needs code.,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,14.2,31.1,44
69,General_Practitioners_Per_100000_Population,General Practitioners Per 100000 Population,BC Community Health Data,2009–2010,LHA,Sensitivity,Sensitivity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,33.0,243.0,43
70,Specialists_Per_100000_Population,Specialists Per 100000 Population,BC Community Health Data,2009–2010,LHA,Sensitivity,Sensitivity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,5.0,331.0,46
71,Supplementary_Practitioners_Per_100000_Population,Supplementary Practitioners Per 100000 Population,BC Community Health Data,2009–2010,LHA,Sensitivity,Sensitivity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,19.0,342.0,46
72,Alcohol_Consumption_Per_Capita,Alcohol Consumption Per Capita,BC Community Health Data,2016,LHA,Sensitivity,Sensitivity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,0.7,4.3,19
73,Injury_Hospitalization_Count,Injury Hospitalization Count,BC Community Health Data,2006–2011,LHA,Sensitivity,Sensitivity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,328.0,48204.0,52
74,All_Cause_Cancer_Incident_Cases,All Cause Cancer Incident Cases,BC Community Health Data,2008–2012,LHA,Sensitivity,Sensitivity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,71.0,6925.0,49
75,Depression_Incident_Counts_1_Years,Depression Incident Counts 1 Years,BC Community Health Data,2015,LHA,Sensitivity,Sensitivity,selected,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,20.0,6632.0,52
76,Asthma_Incident_Counts_5_54_Years,Asthma Incident Counts 5 54 Years,BC Community Health Data,2015,LHA,Sensitivity,Sensitivity,ambiguous,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,Table 2 repeats five disease-incidence labels without distinguishing rates from counts. Table 1 and the CSV contain separate rate and count fields; both are retained but exact PCA inclusion needs code.,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,17.0,3259.0,52
77,COPD_Incident_Counts_45_Years,COPD Incident Counts 45 Years,BC Community Health Data,2015,LHA,Sensitivity,Sensitivity,ambiguous,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,Table 2 repeats five disease-incidence labels without distinguishing rates from counts. Table 1 and the CSV contain separate rate and count fields; both are retained but exact PCA inclusion needs code.,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,13.0,1606.0,51
78,Hypertension_Incident_Counts_20_Years,Hypertension Incident Counts 20 Years,BC Community Health Data,2015,LHA,Sensitivity,Sensitivity,ambiguous,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,Table 2 repeats five disease-incidence labels without distinguishing rates from counts. Table 1 and the CSV contain separate rate and count fields; both are retained but exact PCA inclusion needs code.,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,40.0,5108.0,52
79,Heart_Failure_Incident_Counts_1_Years,Heart Failure Incident Counts 1 Years,BC Community Health Data,2015,LHA,Sensitivity,Sensitivity,ambiguous,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,Table 2 repeats five disease-incidence labels without distinguishing rates from counts. Table 1 and the CSV contain separate rate and count fields; both are retained but exact PCA inclusion needs code.,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,11.0,1990.0,51
80,Diabetes_Incident_Counts_1_Years,Diabetes Incident Counts 1 Years,BC Community Health Data,2015,LHA,Sensitivity,Sensitivity,ambiguous,False,True,Table 1 pp. 5–10; Table 2 pp. 12–13,Table 2 repeats five disease-incidence labels without distinguishing rates from counts. Table 1 and the CSV contain separate rate and count fields; both are retained but exact PCA inclusion needs code.,1048 PHSA CSV archive entries in Google Drive snapshot; current checkout lacks PHSA output; original vintage not verified,Original health input publication not verified,,False,Match original LHA table/vintage and establish the LHA-to-FSA allocation. Current EDI data is not automatically the 2013–2016 health input.,21.0,3455.0,48
